housing,stator_yoke,stator_tooth,stator_coil_active,rotor_outer,rotor_inner,pm,shaft,loss,output_1_loss,output_2_loss,output_3_loss,output_1_mae,output_1_mae_pm,output_1_all_max_ae,output_1_pm_max_ae,final_epoch
0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001924390235217,0.0001924390235217,0.0612486191093921,0.1085439398884773,0.5845028758049011,0.7338099479675293,12.28696346282959,4.183099269866943,169.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0001565333659527,0.0001565333659527,0.0666463822126388,0.02584327198565,0.5600332617759705,0.4962141513824463,8.465764045715332,1.9954798221588133,194.0
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.000292434298899,0.000292434298899,0.0495918057858943,0.000494732579682,0.7809756994247437,0.8667090535163879,4.028367042541504,4.028367042541504,85.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0002624029875732,0.0002624029875732,0.0440240912139415,0.0002372105809627,0.669381320476532,0.6562642455101013,6.803855419158936,6.007216453552246,298.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0001371428807033,0.0001371428807033,0.0408969223499298,0.000598962244112,0.5349072217941284,0.5446789860725403,3.059999942779541,2.9267818927764893,152.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.912615496432407e-05,9.912615496432407e-05,0.0426616743206977,0.0020197024568915,0.3860710263252258,0.6185833215713501,4.73093843460083,2.392834186553955,181.0
1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0001319625298492,0.0001319625298492,0.0462894216179847,0.0167628545314073,0.4344769418239593,0.7027632594108582,7.534182071685791,2.359478712081909,196.0
1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0001192747222376,0.0001192747222376,0.0250394381582736,0.0014406436821445,0.4442273080348968,0.5478816628456116,4.629085540771484,1.9731210470199585,209.0
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.000129235049826,0.000129235049826,0.0284619275480508,0.003778546815738,0.4499455392360687,0.5046920776367188,4.832005977630615,2.496183395385742,292.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0001283035526284,0.0001283035526284,0.0389888100326061,0.0014344047522172,0.4650095105171203,0.5072219967842102,4.337240695953369,2.2429914474487305,185.0
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0001249876077054,0.0001249876077054,0.0428090505301952,0.0097462562844157,0.4313401877880096,0.6846649050712585,8.063806533813477,2.8339900970458984,200.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001322790776612,0.0001322790776612,0.0289589464664459,0.0011295698350295,0.4775737226009369,0.5475185513496399,5.389482498168945,2.6545603275299072,178.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0001300778531003,0.0001300778531003,0.0309883523732423,0.0015174733707681,0.4412961304187774,0.6394951939582825,5.361292362213135,3.496278762817383,172.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.300866855075583e-05,7.300866855075583e-05,0.0299957524985075,0.0048708566464483,0.3565026223659515,0.3542472124099731,4.493625164031982,1.3672244548797607,253.0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0001392317644786,0.0001392317644786,0.0432524494826793,0.0076571940444409,0.4900639355182647,0.6266376376152039,6.188272953033447,2.227229356765747,273.0
